,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Target
1153009,24/2/2009,10:13:00,1.388,0.0,233.09,5.8,16.0
1775480,2/5/2010,16:44:00,1.644,0.0,241.97,6.8,19.0
1862385,2/7/2010,01:09:00,0.676,0.326,239.51,3.0,1.0
827237,13/7/2008,04:41:00,0.174,0.0,242.67,1.0,0.0
1930064,18/8/2010,01:08:00,0.218,0.0,241.18,1.0,0.0
1405611,18/8/2009,20:15:00,1.214,0.332,241.43,5.2,13.0
520551,13/12/2007,05:15:00,0.332,0.128,244.99,1.4,0.0
1857099,28/6/2010,09:03:00,1.94,0.336,239.93,8.2,28.0
695483,12/4/2008,16:47:00,4.376,0.628,237.13,18.6,57.0
1620157,14/1/2010,20:01:00,3.846,0.358,240.76,16.6,30.0
2016929,17/10/2010,08:53:00,0.426,0.198,242.18,2.0,3.0
1496227,20/10/2009,18:31:00,0.964,0.17,241.44,4.0,0.0
107770,1/3/2007,13:34:00,0.318,0.128,242.24,1.4,0.0
1866841,5/7/2010,03:25:00,0.266,0.104,238.89,1.2,0.0
1569653,10/12/2009,18:17:00,1.078,0.102,241.87,4.4,1.0
875773,15/8/2008,21:37:00,0.11,0.06,241.12,0.6,0.0
1489030,15/10/2009,18:34:00,0.58,0.052,243.45,2.4,1.0
469157,7/11/2007,12:41:00,0.438,0.18,240.52,2.0,0.0
670834,26/3/2008,13:58:00,0.228,0.046,245.71,1.0,0.0
1279473,23/5/2009,05:57:00,0.416,0.24,243.01,2.0,3.0
291041,6/7/2007,20:05:00,2.482,0.45,240.12,11.0,35.0
372982,1/9/2007,17:46:00,1.536,0.172,240.2,6.4,17.0
963996,16/10/2008,04:00:00,0.296,0.0,240.39,1.2,0.0
283444,1/7/2007,13:28:00,0.338,0.258,241.78,1.8,1.0
43775,16/1/2007,02:59:00,0.218,0.0,243.73,1.0,0.0
891300,26/8/2008,16:24:00,0.16,0.142,241.27,0.8,2.0
1105233,22/1/2009,05:57:00,0.434,0.178,246.9,1.8,2.0
896998,30/8/2008,15:22:00,0.092,0.0,239.09,0.4,1.0
452310,26/10/2007,19:54:00,0.756,0.06,240.17,3.2,0.0
931082,23/9/2008,07:26:00,2.568,0.052,238.47,10.8,18.0
1923238,13/8/2010,07:22:00,0.23,0.084,239.16,1.0,1.0
1462695,27/9/2009,11:39:00,0.284,0.116,240.13,1.2,0.0
983998,30/10/2008,01:22:00,0.788,0.074,243.2,3.2,0.0
33257,8/1/2007,19:41:00,2.044,0.424,235.31,8.8,17.0
540085,26/12/2007,18:49:00,1.438,0.07,237.04,6.0,17.0
1233255,21/4/2009,03:39:00,1.384,0.094,241.24,5.6,1.0
1036267,5/12/2008,08:31:00,2.214,0.05,240.11,9.2,19.0
1773729,1/5/2010,11:33:00,2.678,0.35,238.32,11.8,38.0
204391,7/5/2007,15:55:00,0.218,0.104,237.25,1.0,2.0
1728994,31/3/2010,09:58:00,1.418,0.108,241.58,5.8,18.0
2027765,24/10/2010,21:29:00,0.984,0.056,242.44,4.0,1.0
1062169,23/12/2008,08:13:00,1.274,0.06,240.5,5.2,18.0
1209878,4/4/2009,22:02:00,1.664,0.0,239.19,7.0,18.0
161892,8/4/2007,03:36:00,2.45,0.216,240.0,10.2,2.0
316372,24/7/2007,10:16:00,1.184,0.0,232.29,5.0,16.0
425440,8/10/2007,04:04:00,0.222,0.0,240.82,1.0,1.0
109325,2/3/2007,15:29:00,0.304,0.122,243.58,1.4,1.0
1614777,11/1/2010,02:21:00,0.334,0.09,249.09,1.4,1.0
458825,31/10/2007,08:29:00,0.298,0.098,239.31,1.2,0.0
178360,19/4/2007,14:04:00,2.578,0.2,236.81,10.8,37.0
1554154,29/11/2009,23:58:00,0.332,0.0,246.11,1.4,1.0
143212,26/3/2007,04:16:00,0.334,0.14,245.11,1.4,0.0
1613444,10/1/2010,04:08:00,0.246,0.0,245.81,1.0,1.0
805940,28/6/2008,09:44:00,0.542,0.302,239.4,2.6,3.0
2071780,24/11/2010,11:04:00,1.472,0.17,240.04,6.2,17.0
1096659,16/1/2009,07:03:00,2.218,0.118,242.42,9.2,18.0
36992,11/1/2007,09:56:00,1.358,0.15,240.78,5.6,19.0
879520,18/8/2008,12:04:00,0.774,0.22,240.4,3.2,12.0
1275235,20/5/2009,07:19:00,1.734,0.166,239.66,7.2,20.0
1934306,20/8/2010,23:50:00,0.218,0.0,241.18,1.0,0.0
1526178,10/11/2009,13:42:00,1.472,0.244,240.97,6.2,19.0
879408,18/8/2008,10:12:00,0.184,0.152,241.14,1.0,0.0
913104,10/9/2008,19:48:00,0.428,0.162,240.0,2.0,1.0
627107,25/2/2008,05:11:00,0.21,0.0,238.47,0.8,0.0
986288,31/10/2008,15:32:00,1.66,0.06,243.85,6.8,19.0
1329234,26/6/2009,19:18:00,1.678,0.354,240.76,7.0,18.0
1155302,26/2/2009,00:26:00,0.216,0.0,240.83,0.8,0.0
247834,6/6/2007,19:58:00,1.894,0.412,232.44,8.2,18.0
64706,30/1/2007,15:50:00,1.43,0.122,245.91,5.8,19.0
32426,8/1/2007,05:50:00,0.308,0.142,240.86,1.4,0.0
1791106,13/5/2010,13:10:00,1.358,0.046,244.47,5.4,19.0
144636,27/3/2007,04:00:00,0.256,0.0,240.81,1.2,0.0
587891,28/1/2008,23:35:00,2.18,0.2,241.94,9.0,19.0
89846,17/2/2007,02:50:00,0.252,0.0,243.36,1.0,0.0
719559,29/4/2008,10:03:00,0.93,0.196,239.05,4.0,11.0
631487,28/2/2008,06:11:00,0.394,0.252,245.23,1.8,1.0
1441795,12/9/2009,23:19:00,2.348,0.048,239.38,9.8,17.0
1087245,9/1/2009,18:09:00,3.268,0.0,239.65,13.6,18.0
466683,5/11/2007,19:27:00,2.388,0.068,233.97,10.2,17.0
701522,16/4/2008,21:26:00,2.036,0.364,235.95,8.6,2.0
175199,17/4/2007,09:23:00,1.446,0.102,237.72,6.0,17.0
806558,28/6/2008,20:02:00,0.576,0.356,242.47,2.8,2.0
1679723,25/2/2010,04:47:00,0.248,0.046,242.87,1.0,0.0
469075,7/11/2007,11:19:00,0.296,0.08,241.36,1.2,0.0
1641431,29/1/2010,14:35:00,1.5,0.0,248.38,6.0,19.0
914067,11/9/2008,11:51:00,0.476,0.112,237.97,2.2,1.0
199419,4/5/2007,05:03:00,0.19,0.074,237.45,0.8,0.0
345970,13/8/2007,23:34:00,2.802,0.218,233.79,12.0,17.0
732332,8/5/2008,06:56:00,1.082,0.114,239.46,4.4,1.0
503502,1/12/2007,09:06:00,1.452,0.09,240.37,6.0,20.0
1045886,12/12/2008,00:50:00,0.266,0.064,243.41,1.2,0.0
851723,30/7/2008,04:47:00,0.458,0.11,237.83,2.2,0.0
871847,13/8/2008,04:11:00,0.156,0.124,241.5,0.8,1.0
1609967,7/1/2010,18:11:00,2.03,0.08,240.02,8.4,0.0
1269469,16/5/2009,07:13:00,0.222,0.104,241.35,1.0,3.0
1654761,7/2/2010,20:45:00,1.552,0.14,239.3,6.4,1.0
1397044,12/8/2009,21:28:00,1.464,0.366,239.86,6.2,3.0
284853,2/7/2007,12:57:00,0.184,0.08,240.56,0.8,1.0
331877,4/8/2007,04:41:00,0.1,0.0,236.7,0.4,0.0
779456,10/6/2008,00:20:00,0.454,0.362,243.28,2.4,2.0
1705543,15/3/2010,03:07:00,1.344,0.0,243.58,5.4,19.0
648983,11/3/2008,09:47:00,0.588,0.186,238.77,2.8,2.0
1388560,7/8/2009,00:04:00,0.212,0.106,241.59,1.0,1.0
927505,20/9/2008,19:49:00,0.556,0.104,240.21,2.2,0.0
160811,7/4/2007,09:35:00,2.1,0.176,238.9,8.8,18.0
1583600,20/12/2009,10:44:00,1.478,0.054,245.77,6.0,19.0
991547,4/11/2008,07:11:00,1.39,0.066,237.84,5.8,17.0
5938,20/12/2006,20:22:00,3.98,0.282,234.71,17.2,17.0
298829,12/7/2007,05:53:00,0.314,0.236,240.68,1.6,1.0
290582,6/7/2007,12:26:00,0.228,0.116,239.96,1.0,0.0
620446,20/2/2008,14:10:00,0.628,0.082,241.66,2.6,0.0
250088,8/6/2007,09:32:00,1.364,0.0,232.48,5.8,18.0
1036289,5/12/2008,08:53:00,2.222,0.0,241.24,9.2,18.0
1689715,4/3/2010,03:19:00,0.272,0.0,244.57,1.2,1.0
1901266,29/7/2010,01:10:00,0.252,0.12,243.22,1.2,0.0
292158,7/7/2007,14:42:00,2.67,0.206,238.19,11.2,18.0
1954631,4/9/2010,02:35:00,0.272,0.096,242.37,1.2,1.0
1879476,13/7/2010,22:00:00,1.96,0.052,238.86,8.2,19.0
1051897,16/12/2008,05:01:00,0.276,0.0,247.07,1.2,0.0
731471,7/5/2008,16:35:00,0.348,0.124,240.18,1.4,1.0
430232,11/10/2007,11:56:00,1.354,0.076,238.07,5.6,18.0
1445359,15/9/2009,10:43:00,1.352,0.104,239.41,5.6,18.0
1352928,13/7/2009,06:12:00,0.234,0.134,242.38,1.0,0.0
353642,19/8/2007,07:26:00,1.172,0.0,240.57,4.8,18.0
248681,7/6/2007,10:05:00,0.352,0.196,231.32,1.6,2.0
761510,28/5/2008,13:14:00,0.322,0.238,241.19,1.6,0.0
232662,27/5/2007,07:06:00,0.406,0.048,237.81,2.0,0.0
1440910,12/9/2009,08:34:00,1.414,0.224,238.32,6.0,22.0
596783,4/2/2008,03:47:00,0.228,0.0,245.82,1.0,0.0
313936,22/7/2007,17:40:00,0.266,0.0,239.22,1.2,2.0
1904743,31/7/2010,11:07:00,0.154,0.0,238.83,0.6,0.0
1256594,7/5/2009,08:38:00,1.394,0.062,239.96,5.8,19.0
1588112,23/12/2009,13:56:00,0.286,0.096,251.79,1.2,0.0
283828,1/7/2007,19:52:00,0.506,0.132,239.39,2.4,0.0
1390663,8/8/2009,11:07:00,0.232,0.132,239.79,1.0,1.0
984361,30/10/2008,07:25:00,0.758,0.058,241.64,3.0,1.0
474357,11/11/2007,03:21:00,0.436,0.128,243.49,1.8,2.0
970663,20/10/2008,19:07:00,0.966,0.0,239.64,4.0,1.0
673215,28/3/2008,05:39:00,0.306,0.106,245.63,1.2,2.0
1088442,10/1/2009,14:06:00,1.908,0.092,244.9,7.8,18.0
1698355,10/3/2010,03:19:00,0.27,0.0,247.17,1.0,0.0
1234965,22/4/2009,08:09:00,2.03,0.074,238.4,8.4,28.0
1788050,11/5/2010,10:14:00,2.012,0.246,239.25,8.4,31.0
909953,8/9/2008,15:17:00,0.152,0.0,242.94,0.6,1.0
2061581,17/11/2010,09:05:00,1.39,0.056,239.1,5.8,18.0
759261,26/5/2008,23:45:00,0.3,0.132,244.48,1.4,2.0
722241,1/5/2008,06:45:00,0.254,0.0,242.23,1.0,1.0
1498324,22/10/2009,05:28:00,0.33,0.09,242.12,1.4,1.0
1053778,17/12/2008,12:22:00,1.744,0.064,244.5,7.0,19.0
186077,24/4/2007,22:41:00,0.846,0.194,237.21,3.6,0.0
924559,18/9/2008,18:43:00,0.592,0.0,238.56,2.4,0.0
20139,30/12/2006,17:03:00,2.684,0.616,237.04,11.6,21.0
106202,28/2/2007,11:26:00,0.316,0.126,241.76,1.4,0.0
1997097,3/10/2010,14:21:00,1.41,0.048,243.3,5.8,19.0
1431473,5/9/2009,19:17:00,1.798,0.288,239.62,8.0,19.0
408885,26/9/2007,16:09:00,2.514,0.0,237.54,10.6,36.0
35056,10/1/2007,01:40:00,0.214,0.0,242.44,1.0,0.0
164724,10/4/2007,02:48:00,0.298,0.118,243.66,1.2,1.0
1731381,2/4/2010,01:45:00,0.23,0.0,241.6,1.0,1.0
445997,22/10/2007,10:41:00,2.582,0.0,236.54,10.8,18.0
1808737,25/5/2010,19:01:00,0.386,0.16,242.67,1.6,0.0
264814,18/6/2007,14:58:00,0.124,0.0,242.8,0.8,0.0
1326066,24/6/2009,14:30:00,1.294,0.056,239.79,5.4,19.0
1591896,26/12/2009,05:00:00,0.43,0.236,243.86,2.0,0.0
1233347,21/4/2009,05:11:00,1.294,0.0,240.45,5.4,0.0
1151892,23/2/2009,15:36:00,1.426,0.074,241.07,5.8,17.0
1228185,17/4/2009,15:09:00,1.654,0.332,241.61,7.0,21.0
981909,28/10/2008,14:33:00,1.278,0.066,240.89,5.2,18.0
1809773,26/5/2010,12:17:00,0.38,0.0,241.3,1.6,1.0
805307,27/6/2008,23:11:00,2.736,0.076,238.09,11.4,18.0
1660007,11/2/2010,12:11:00,1.682,0.254,243.51,7.0,19.0
484361,18/11/2007,02:05:00,0.356,0.0,242.83,1.4,3.0
1683590,27/2/2010,21:14:00,0.502,0.068,242.59,2.0,1.0
971455,21/10/2008,08:19:00,2.544,0.0,237.21,10.6,19.0
172323,15/4/2007,09:27:00,0.316,0.118,240.81,1.4,0.0
981187,28/10/2008,02:31:00,0.284,0.058,244.96,1.2,0.0
828952,14/7/2008,09:16:00,1.336,0.106,239.13,5.6,18.0
1340297,4/7/2009,11:41:00,0.38,0.224,239.63,1.8,2.0
538228,25/12/2007,11:52:00,0.822,0.214,244.37,3.4,2.0
363727,26/8/2007,07:31:00,0.28,0.258,240.88,1.6,1.0
477877,13/11/2007,14:01:00,1.568,0.124,241.12,7.8,12.0
1791845,14/5/2010,01:29:00,0.39,0.128,243.18,1.6,0.0
456919,30/10/2007,00:43:00,0.312,0.1,239.87,1.4,0.0
1218041,10/4/2009,14:05:00,1.344,0.0,242.22,5.4,19.0
149408,30/3/2007,11:32:00,0.522,0.086,239.85,2.6,0.0
1055216,18/12/2008,12:20:00,1.384,0.096,240.94,5.6,18.0
2059670,16/11/2010,01:14:00,0.23,0.048,242.54,1.0,0.0
879107,18/8/2008,05:11:00,0.082,0.0,242.85,0.2,0.0
743102,15/5/2008,18:26:00,1.504,0.112,241.76,6.2,19.0
1860320,30/6/2010,14:44:00,1.296,0.106,241.83,5.4,0.0
560884,10/1/2008,05:28:00,1.568,0.078,240.79,6.6,18.0
387702,11/9/2007,23:06:00,1.66,0.118,240.43,6.8,18.0
317049,24/7/2007,21:33:00,0.85,0.266,237.18,3.6,4.0
1620315,14/1/2010,22:39:00,3.212,0.122,243.19,13.2,40.0
330069,2/8/2007,22:33:00,1.192,0.07,237.47,5.0,0.0
107285,1/3/2007,05:29:00,1.36,0.08,240.57,5.6,17.0
385478,10/9/2007,10:02:00,0.224,0.124,240.49,1.0,0.0
1051437,15/12/2008,21:21:00,2.72,0.0,239.45,11.2,18.0
1017051,22/11/2008,00:15:00,0.334,0.056,243.43,1.4,0.0
1459239,25/9/2009,02:03:00,0.244,0.14,239.81,1.2,2.0
683704,4/4/2008,12:28:00,1.43,0.182,239.22,6.0,17.0
144367,26/3/2007,23:31:00,0.3,0.084,241.37,1.2,0.0
628961,26/2/2008,12:05:00,0.296,0.074,238.41,1.4,0.0
27522,4/1/2007,20:06:00,1.776,0.168,239.48,7.4,0.0
179534,20/4/2007,09:38:00,0.298,0.23,239.16,1.6,0.0
1036141,5/12/2008,06:25:00,0.444,0.186,244.03,2.0,0.0
297782,11/7/2007,12:26:00,0.226,0.11,238.58,1.0,0.0
1837310,14/6/2010,15:14:00,0.178,0.0,243.01,0.8,0.0
1537406,18/11/2009,08:50:00,1.322,0.0,241.65,5.4,19.0
185853,24/4/2007,18:57:00,1.274,0.188,232.81,5.4,18.0
678977,1/4/2008,05:41:00,0.402,0.214,243.04,1.8,0.0
756685,25/5/2008,04:49:00,0.32,0.194,242.33,1.6,1.0
499075,28/11/2007,07:19:00,2.598,0.198,238.56,10.8,20.0
1311540,14/6/2009,12:24:00,0.218,0.0,241.18,1.0,0.0
1458453,24/9/2009,12:57:00,0.246,0.104,242.95,1.0,0.0
1617842,13/1/2010,05:26:00,0.218,0.0,241.18,1.0,0.0
1409027,21/8/2009,05:11:00,1.296,0.1,241.57,5.2,19.0
891492,26/8/2008,19:36:00,0.726,0.126,239.57,3.0,11.0
1166850,6/3/2009,00:54:00,0.304,0.056,242.55,1.4,0.0
41778,14/1/2007,17:42:00,5.486,0.142,230.84,23.6,51.0
1139889,15/2/2009,07:33:00,1.28,0.056,243.17,5.2,0.0
1998524,4/10/2010,14:08:00,0.424,0.0,241.24,1.8,2.0
366719,28/8/2007,09:23:00,1.162,0.0,238.75,4.8,18.0
1989194,28/9/2010,02:38:00,0.218,0.0,241.18,1.0,0.0
137331,22/3/2007,02:15:00,0.212,0.0,245.16,0.8,0.0
880191,18/8/2008,23:15:00,0.19,0.16,244.02,1.0,0.0
197308,2/5/2007,17:52:00,0.226,0.126,238.42,1.0,0.0
11500,24/12/2006,17:04:00,1.142,0.182,240.19,4.8,3.0
2054078,12/11/2010,04:02:00,0.23,0.052,245.95,1.0,0.0
290929,6/7/2007,18:13:00,1.086,0.078,239.79,4.8,12.0
1812237,28/5/2010,05:21:00,0.204,0.0,240.39,1.0,2.0
77810,8/2/2007,18:14:00,1.772,0.248,237.56,7.6,17.0
1939911,24/8/2010,21:15:00,0.372,0.198,243.66,1.8,2.0
488562,21/11/2007,00:06:00,0.274,0.0,245.94,1.2,0.0
977235,25/10/2008,08:39:00,1.67,0.08,241.07,6.8,18.0
787808,15/6/2008,19:32:00,4.808,0.55,234.94,21.2,33.0
290093,6/7/2007,04:17:00,0.13,0.0,242.15,0.6,0.0
1679976,25/2/2010,09:00:00,1.378,0.0,239.73,5.6,18.0
1604259,3/1/2010,19:03:00,1.342,0.336,241.03,6.0,1.0
1036820,5/12/2008,17:44:00,1.892,0.0,241.38,7.8,0.0
1337637,2/7/2009,15:21:00,0.354,0.226,242.87,1.8,0.0
1751101,15/4/2010,18:25:00,1.152,0.08,242.24,4.8,0.0
1225401,15/4/2009,16:45:00,0.316,0.0,242.92,1.4,1.0
597611,4/2/2008,17:35:00,0.552,0.324,240.49,2.6,1.0
1350886,11/7/2009,20:10:00,0.206,0.13,244.63,1.0,2.0
287365,4/7/2007,06:49:00,0.338,0.21,242.2,1.6,1.0
1287655,28/5/2009,22:19:00,2.042,0.08,239.87,8.4,19.0
270794,22/6/2007,18:38:00,0.216,0.13,241.15,1.0,0.0
2026632,24/10/2010,02:36:00,1.898,0.294,245.31,7.8,2.0
290525,6/7/2007,11:29:00,0.298,0.214,239.09,1.4,0.0
982913,29/10/2008,07:17:00,0.674,0.072,239.27,2.8,0.0
11521,24/12/2006,17:25:00,1.836,0.134,237.02,7.8,0.0
881258,19/8/2008,17:02:00,0.08,0.0,241.24,0.2,1.0
250147,8/6/2007,10:31:00,3.358,0.116,231.2,14.4,52.0
1745669,11/4/2010,23:53:00,0.228,0.0,238.34,1.0,0.0
851062,29/7/2008,17:46:00,0.478,0.094,239.31,2.2,0.0
392360,15/9/2007,04:44:00,0.244,0.092,240.42,1.2,0.0
509748,5/12/2007,17:12:00,0.922,0.118,240.76,4.0,0.0
461692,2/11/2007,08:16:00,0.2,0.0,239.06,0.8,0.0
538492,25/12/2007,16:16:00,2.418,0.112,245.51,9.8,20.0
3821,19/12/2006,09:05:00,5.698,0.098,234.29,24.2,91.0
74265,6/2/2007,07:09:00,0.7,0.144,239.7,3.0,0.0
1944454,28/8/2010,00:58:00,0.346,0.21,242.2,1.6,0.0
1930129,18/8/2010,02:13:00,0.218,0.0,241.18,1.0,0.0
1536323,17/11/2009,14:47:00,0.758,0.208,246.89,3.2,2.0
1875161,10/7/2010,22:05:00,0.338,0.198,241.59,1.6,1.0
1535618,17/11/2009,03:02:00,0.414,0.246,243.87,2.0,2.0
1259876,9/5/2009,15:20:00,0.39,0.0,241.41,1.8,1.0
483664,17/11/2007,14:28:00,4.186,0.052,238.66,17.4,55.0
1987728,27/9/2010,02:12:00,0.218,0.0,241.18,1.0,0.0
1336507,1/7/2009,20:31:00,0.55,0.088,243.73,2.2,1.0
882131,20/8/2008,07:35:00,0.154,0.12,239.18,0.8,1.0
412520,29/9/2007,04:44:00,0.316,0.11,242.48,1.4,0.0
1397886,13/8/2009,11:30:00,0.218,0.0,241.18,1.0,0.0
1339683,4/7/2009,01:27:00,0.39,0.35,241.25,2.0,1.0
1362510,19/7/2009,21:54:00,0.466,0.112,240.09,2.0,1.0
1454684,21/9/2009,22:08:00,1.588,0.198,240.32,6.6,1.0
865640,8/8/2008,20:44:00,0.154,0.122,239.84,0.8,1.0
1804557,22/5/2010,21:21:00,1.654,0.114,238.32,6.8,19.0
384302,9/9/2007,14:26:00,5.69,0.106,233.52,24.2,88.0
1314176,16/6/2009,08:20:00,4.248,0.226,238.46,17.8,67.0
701323,16/4/2008,18:07:00,1.378,0.086,239.12,5.6,20.0
349527,16/8/2007,10:51:00,1.332,0.238,236.36,5.6,17.0
986578,31/10/2008,20:22:00,1.482,0.068,239.07,6.2,18.0
1307706,11/6/2009,20:30:00,0.614,0.172,241.79,2.6,1.0
859935,4/8/2008,21:39:00,3.504,0.088,236.52,14.8,34.0
96766,21/2/2007,22:10:00,2.158,0.122,240.9,8.8,20.0
485899,19/11/2007,03:43:00,0.306,0.082,247.11,1.2,0.0
644619,8/3/2008,09:03:00,0.832,0.226,241.21,3.6,0.0
1516598,3/11/2009,22:02:00,2.446,0.0,238.2,10.2,20.0
1043749,10/12/2008,13:13:00,1.588,0.0,244.66,6.4,18.0
835352,18/7/2008,19:56:00,0.232,0.104,239.45,1.0,0.0
674827,29/3/2008,08:31:00,2.094,0.078,238.91,8.8,17.0
1375666,29/7/2009,01:10:00,0.238,0.096,241.05,1.0,1.0
623415,22/2/2008,15:39:00,1.542,0.21,242.4,6.4,18.0
440607,18/10/2007,16:51:00,0.326,0.082,241.26,1.4,1.0
271054,22/6/2007,22:58:00,0.124,0.0,244.14,0.6,0.0
86734,14/2/2007,22:58:00,0.404,0.238,245.62,1.8,1.0
18207,29/12/2006,08:51:00,4.522,0.248,238.12,19.0,18.0
1394256,10/8/2009,23:00:00,3.826,0.286,237.04,16.2,50.0
253820,10/6/2007,23:44:00,1.082,0.39,243.92,4.6,0.0
1237910,24/4/2009,09:14:00,2.146,0.246,238.23,9.0,28.0
1907394,2/8/2010,07:18:00,0.344,0.204,240.92,1.8,1.0
1838136,15/6/2010,05:00:00,1.232,0.0,239.66,5.0,18.0
696854,13/4/2008,15:38:00,0.414,0.214,241.54,1.8,2.0
397168,18/9/2007,12:52:00,0.194,0.08,236.01,0.8,1.0
963947,16/10/2008,03:11:00,0.296,0.0,240.02,1.2,0.0
68266,2/2/2007,03:10:00,0.302,0.1,243.83,1.2,0.0
1568656,10/12/2009,01:40:00,0.726,0.238,241.69,3.4,9.0
1439103,11/9/2009,02:27:00,0.382,0.336,240.79,2.0,2.0
1410785,22/8/2009,10:29:00,4.016,0.428,237.54,17.0,38.0
1586963,22/12/2009,18:47:00,2.768,0.0,244.24,11.2,19.0
834031,17/7/2008,21:55:00,2.75,0.668,237.77,12.0,1.0
1282979,25/5/2009,16:23:00,0.318,0.072,239.61,1.4,1.0
393737,16/9/2007,03:41:00,0.11,0.0,242.5,0.4,0.0
206410,9/5/2007,01:34:00,0.286,0.224,237.2,1.4,1.0
1366428,22/7/2009,15:12:00,0.244,0.13,241.12,1.2,1.0
1281109,24/5/2009,09:13:00,1.306,0.0,239.96,5.4,18.0
1439356,11/9/2009,06:40:00,0.424,0.1,238.3,1.8,1.0
1790355,13/5/2010,00:39:00,0.268,0.0,240.71,1.2,0.0
714770,26/4/2008,02:14:00,0.25,0.0,240.98,1.0,1.0
21501,31/12/2006,15:45:00,2.522,0.16,241.46,10.4,0.0
1777743,4/5/2010,06:27:00,0.24,0.0,234.94,1.0,0.0
1333116,29/6/2009,12:00:00,0.456,0.178,241.03,2.0,0.0
1522369,7/11/2009,22:13:00,1.92,0.182,239.22,8.0,2.0
1937219,23/8/2010,00:23:00,0.254,0.066,242.41,1.0,1.0
1342521,6/7/2009,00:45:00,0.28,0.236,242.28,1.4,2.0
1931651,19/8/2010,03:35:00,0.218,0.0,241.18,1.0,0.0
1634904,25/1/2010,01:48:00,0.36,0.112,245.69,1.4,0.0
737075,11/5/2008,13:59:00,0.86,0.218,242.56,4.0,0.0
1868270,6/7/2010,03:14:00,0.236,0.082,241.6,1.0,2.0
472323,9/11/2007,17:27:00,1.422,0.0,238.34,6.0,17.0
13050,25/12/2006,18:54:00,3.838,0.066,237.41,16.2,38.0
1074852,1/1/2009,03:36:00,0.504,0.0,244.4,2.2,0.0
1280320,23/5/2009,20:04:00,1.474,0.18,238.41,6.2,19.0
1346818,9/7/2009,00:22:00,0.264,0.104,245.97,1.2,0.0
531781,21/12/2007,00:25:00,0.3,0.074,245.01,1.2,0.0
205020,8/5/2007,02:24:00,0.428,0.214,235.06,2.0,2.0
1563233,6/12/2009,07:17:00,0.416,0.198,242.35,2.0,1.0
836625,19/7/2008,17:09:00,1.368,0.214,238.21,5.8,19.0
1140236,15/2/2009,13:20:00,1.276,0.058,240.71,5.2,17.0
990913,3/11/2008,20:37:00,1.392,0.064,237.3,5.8,17.0
157595,5/4/2007,03:59:00,0.306,0.086,240.58,1.4,0.0
598495,5/2/2008,08:19:00,1.434,0.0,239.99,6.0,19.0
1840868,17/6/2010,02:32:00,0.298,0.12,239.17,1.4,0.0
1161887,2/3/2009,14:11:00,0.698,0.0,243.37,3.2,0.0
39106,12/1/2007,21:10:00,1.268,0.288,240.68,5.4,1.0
471214,8/11/2007,22:58:00,0.822,0.246,243.4,3.4,0.0
1309189,12/6/2009,21:13:00,4.398,0.148,237.3,18.4,67.0
1969610,14/9/2010,12:14:00,0.548,0.152,241.76,2.4,2.0
601947,7/2/2008,17:51:00,0.284,0.0,241.62,1.2,0.0
1155669,26/2/2009,06:33:00,2.392,0.16,241.38,10.4,0.0
1721384,26/3/2010,03:08:00,0.342,0.13,245.07,1.4,1.0
1273246,18/5/2009,22:10:00,1.242,0.0,239.89,5.2,0.0
1632436,23/1/2010,08:40:00,1.43,0.1,241.48,5.8,21.0
1383085,3/8/2009,04:49:00,0.14,0.0,243.1,0.6,0.0
1431853,6/9/2009,01:37:00,0.296,0.13,242.33,1.4,0.0
2004151,8/10/2010,11:55:00,1.496,0.106,239.29,6.2,18.0
2006989,10/10/2010,11:13:00,1.762,0.058,239.91,7.2,18.0
338598,8/8/2007,20:42:00,0.33,0.22,236.98,1.6,0.0
1281813,24/5/2009,20:57:00,1.662,0.0,241.75,6.8,18.0
992279,4/11/2008,19:23:00,3.638,0.092,236.09,15.4,41.0
1856084,27/6/2010,16:08:00,0.396,0.258,240.56,2.0,1.0
1800073,19/5/2010,18:37:00,0.518,0.052,243.57,2.2,1.0
958586,12/10/2008,09:50:00,0.656,0.0,237.76,2.8,2.0
1076636,2/1/2009,09:20:00,0.378,0.0,244.33,1.4,0.0
1433295,7/9/2009,01:39:00,0.132,0.0,240.46,0.6,1.0
686723,6/4/2008,14:47:00,0.314,0.0,243.68,1.2,1.0
138870,23/3/2007,03:54:00,0.324,0.094,245.06,1.4,0.0
1076947,2/1/2009,14:31:00,1.41,0.066,243.44,5.8,18.0
1639033,27/1/2010,22:37:00,3.192,0.068,237.69,13.4,18.0
1577205,16/12/2009,00:09:00,0.248,0.0,249.45,1.0,0.0
977461,25/10/2008,12:25:00,2.262,0.288,236.62,10.2,17.0
827124,13/7/2008,02:48:00,0.192,0.0,241.04,1.0,1.0
1533268,15/11/2009,11:52:00,1.98,0.196,237.33,8.4,29.0
625219,23/2/2008,21:43:00,1.836,0.168,237.4,7.6,17.0
2034394,29/10/2010,11:58:00,0.436,0.138,246.85,1.8,2.0
2031729,27/10/2010,15:33:00,0.466,0.102,250.19,2.0,1.0
1771375,29/4/2010,20:19:00,0.346,0.102,244.83,1.4,1.0
1385391,4/8/2009,19:15:00,0.286,0.206,240.66,1.4,0.0
1043203,10/12/2008,04:07:00,1.438,0.082,247.08,5.8,19.0
349978,16/8/2007,18:22:00,0.204,0.14,241.05,1.0,0.0
